scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,44249.46188786131,0.4191623346162788,579331.2475951005,623581.1286452964,3.3483259677886963,LOCALLY_SOLVED
scenario_181,42878.089066517445,0.3747501583141764,597098.3423264027,639976.8061430784,3.291250944137573,LOCALLY_SOLVED
scenario_182,44236.85772848096,0.4188710808161429,574134.4202269879,618371.6968265497,3.061305046081543,LOCALLY_SOLVED
scenario_183,44736.91800980673,0.4175096779786516,580879.3340742796,625616.6695937644,3.125409841537476,LOCALLY_SOLVED
scenario_184,44452.493242778815,0.4182432381925966,610049.626691717,654502.538177734,3.386353015899658,LOCALLY_SOLVED
scenario_185,44864.24718203261,0.4173599013084079,569918.2404591044,614782.9050010383,4.008764028549194,LOCALLY_SOLVED
scenario_186,43482.16063205995,0.4176053070143029,587691.0040578351,631173.5822952021,4.625335931777954,LOCALLY_SOLVED
scenario_187,44272.824462051205,0.418620762769057,572567.7305363982,616840.9736192122,3.072873115539551,LOCALLY_SOLVED
scenario_188,44100.90517617272,0.4186518308365103,572300.2516306815,616401.575458685,3.2145071029663086,LOCALLY_SOLVED
scenario_189,43705.588334436645,0.4393998258941448,584369.058748603,628075.0864828655,3.660537004470825,LOCALLY_SOLVED
scenario_190,44824.0282896887,0.4058883870755031,581535.2809573417,626359.7151354174,3.449913024902344,LOCALLY_SOLVED
scenario_191,44240.06141965789,0.4187510132953531,567935.1465107682,612175.6266814395,3.5697598457336426,LOCALLY_SOLVED
scenario_192,44163.88814229422,0.4181300148889961,580555.1787009523,624719.4849732615,3.9018049240112314,LOCALLY_SOLVED
scenario_193,44861.99720327945,0.4181438076482133,563831.9704653298,608694.3858124169,3.988312959671021,LOCALLY_SOLVED
scenario_194,44776.59235765032,0.416951836956821,589282.9074987691,634059.9168082564,3.893286943435669,LOCALLY_SOLVED
scenario_195,44381.77960833917,0.4184538222996444,582124.69178975,626506.8898519115,2.926555871963501,LOCALLY_SOLVED
scenario_196,43905.29900757974,0.4021842392363744,589587.0901019459,633492.7912937648,3.178637981414795,LOCALLY_SOLVED
scenario_197,44374.50178119853,0.4185201054491945,580994.289164821,625369.209466125,3.8069889545440674,LOCALLY_SOLVED
scenario_198,44973.45535634114,0.4174676982028695,577831.4001266621,622805.2729507014,3.4300129413604736,LOCALLY_SOLVED
scenario_199,43912.5719148542,0.4184380489526495,591708.8041364175,635621.7944893206,3.187872171401977,LOCALLY_SOLVED
scenario_200,44617.456652573324,0.4161210218130029,580611.0833529305,625228.9561265256,3.242250919342041,LOCALLY_SOLVED
scenario_201,43280.97954166972,0.1727612106824597,607371.3480727981,650652.5003756785,3.3390309810638428,LOCALLY_SOLVED
scenario_202,44436.05139254266,0.4334058205762844,597270.9258221381,641707.4106205014,4.091510057449341,LOCALLY_SOLVED
scenario_203,45390.29094990097,0.411566028627208,569785.8363806799,615176.5388966094,3.078362941741944,LOCALLY_SOLVED
scenario_204,43828.36302679362,0.169877935415197,574491.370071269,618319.902975998,3.9368739128112793,LOCALLY_SOLVED
scenario_205,45537.96731285763,0.4173429549587905,538959.9647682288,584498.3494240415,3.883035898208618,LOCALLY_SOLVED
