scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_601,40073.20039398258,0.3764143392810781,3343377.2059934195,3383450.7828017413,2.28314208984375,10.472150087356567,0.0,12.981642961502075
scenario_602,38439.19223835012,0.6884498363651719,2617527.327458342,2655967.2081465283,2.292203903198242,11.154484033584597,0.0,13.68147897720337
scenario_603,36951.21177893643,0.6492467910689507,2078233.2228880816,2115185.083913809,2.281913995742798,10.707491874694824,0.0,13.216192960739136
scenario_604,38756.9796254016,0.4354674364219935,2688128.005455322,2726885.42054816,2.28727388381958,10.79634714126587,0.0,13.312303066253662
scenario_605,38824.72888495431,0.7017059613212691,2915065.3248027377,2953890.755393653,2.303591012954712,10.93644380569458,0.0,13.467903852462769
scenario_606,40160.21132711509,605.3898880310314,3669769.428151096,3710535.0293662422,2.299566984176636,9.868561029434204,0.0,12.3956561088562
scenario_607,39457.73465363644,0.7364621965420051,2729984.639715484,2769443.110831317,2.302004814147949,10.913031101226808,0.0,13.445823907852173
scenario_608,37454.09201778743,0.4466522572298212,2226390.528925712,2263845.067595757,2.3064939975738525,11.07642698287964,0.0,13.623800992965698
scenario_609,39125.13805192698,0.6778010395142195,2149742.5647297977,2188868.3805827643,2.3069138526916504,10.713168144226074,0.0,13.248437881469728
scenario_610,38357.27895959168,0.693093685447116,3262628.748089299,3300986.7201425764,2.3070318698883057,10.673781156539915,0.0,13.209985971450806
scenario_611,38828.33456313806,0.4275092845292738,1995786.2174075095,2034614.979479932,2.2487010955810547,10.19928789138794,0.0,12.682415008544922
scenario_612,38693.19574696268,0.7385947996514308,3052261.946828052,3090955.881169814,2.1206979751586914,11.006482124328612,0.0,13.337643146514893
scenario_613,37230.71271887964,0.3945199979878123,2139337.509357658,2176568.616596536,2.1677370071411133,9.977378845214844,0.0,12.359627962112429
scenario_614,40640.33145758012,561.9634227511651,3939231.7430120474,3980434.037892379,2.198441982269287,10.055460929870604,0.0,12.48119592666626
scenario_615,37214.058982133305,0.6874975006881122,2161925.6466793204,2199140.3931589546,2.2941079139709477,10.8260018825531,0.0,13.347795963287354
scenario_616,41377.66635466297,0.6207866531991756,1433453.8408783204,1474832.1280196365,2.13519287109375,10.116173028945925,0.0,12.462891817092896
scenario_617,38503.63244331922,0.7024790832947692,3438631.2963624187,3477135.6312848213,2.1409168243408203,10.44213604927063,0.0,12.794631004333496
scenario_618,26395.697868986223,0.1344025299729335,6176683.054300841,6203078.886572357,2.1347639560699463,9.651639938354492,0.0,11.997089862823486
scenario_619,40370.47457696847,0.4280722235680443,3711907.251958463,3752278.154607655,2.1372780799865723,10.685342073440552,0.0,13.04788303375244
scenario_620,37569.15908686224,0.4109440447564838,2648646.9687867304,2686216.5388176376,2.1773130893707275,10.611820936203005,0.0,13.025568008422852
scenario_621,38416.556392852326,0.3952497807661868,2046664.9587959936,2085081.9104386268,2.130542039871216,10.21509599685669,0.0,12.55684208869934
scenario_622,36500.30079941704,0.3957222337636261,1689223.3427383732,1725724.039260024,2.2967400550842285,10.966059923171995,0.0,13.499598979949951
scenario_623,37313.54062167521,0.6487699095939837,2158137.7441620585,2195451.933553643,2.1563661098480225,9.998881816864014,0.0,12.370905876159668
scenario_624,39195.67356999218,0.7187851888100438,3078846.132305871,3118042.524661052,2.3025119304656982,10.705112934112549,0.0,13.249400854110718
scenario_625,38647.56856376807,0.3941609711850157,2714913.3131418806,2753561.27586662,2.1363649368286133,10.185517072677612,0.0,12.533992052078249
scenario_626,37012.084335023785,0.6754470171824118,2718486.9192234995,2755499.6790055404,2.140772819519043,10.21849799156189,0.0,12.570522785186768
scenario_627,37687.07721315385,0.6715869675881105,2625675.194423705,2663362.943223826,2.127404928207397,10.53079104423523,0.0,12.869312047958374
scenario_628,37918.63090167206,0.7311030545478734,2957614.4746614923,2995533.836666219,2.1399049758911133,10.094555139541626,0.0,12.445430994033812
scenario_629,40411.24281501223,431.1501047382872,3611062.0011668126,3651904.394086563,2.115800142288208,9.487396955490112,0.0,11.814541101455688
scenario_630,38361.3299549256,0.4158707554367302,3174290.529083966,3212652.2749096467,2.130997896194458,10.51525902748108,0.0,12.858295917510986
scenario_631,38189.38254242516,0.7052789860414269,2987136.0400218135,3025326.1278432244,2.139589786529541,10.465606212615969,0.0,12.817386865615845
scenario_632,39190.14749817997,0.7378708575709488,4262834.043009509,4302024.928378547,2.1376678943634038,10.048480033874512,0.0,12.397440910339355
scenario_633,39108.66293928264,0.3862687799269096,3442422.862388954,3481531.9115970167,2.137089967727661,10.291399955749512,0.0,12.653658866882324
scenario_634,37649.69767628161,0.7210682490300167,2018468.1307847667,2056118.5495292973,2.131699085235596,9.86407995223999,0.0,12.208665132522585
scenario_635,37872.10499627532,0.3951700968471365,2963521.3988833074,3001393.8990496797,2.133993864059448,9.932806015014648,0.0,12.278859853744509
scenario_636,40700.58585223407,574.914354126328,4214882.569720628,4256158.069926988,2.121962070465088,9.48298692703247,0.0,11.815412998199465
scenario_637,37798.83449927643,0.3877456306998971,2202902.509087619,2240701.731332526,2.1402359008789062,10.212345123291016,0.0,12.563990116119385
scenario_638,40734.39920562151,795.5256684050509,4340794.4716825085,4382324.396556535,2.1307971477508545,9.117733001708984,0.0,11.468925952911375
scenario_639,38246.638931067486,0.3816854229926523,3345409.3853447065,3383656.405961197,2.104698181152344,10.068650007247925,0.0,12.383034229278564
scenario_640,38232.14868033554,0.4104250477322057,2188265.9537510835,2226498.5128564667,2.1309351921081543,10.176915884017944,0.0,12.51936101913452
scenario_641,37346.39827713807,0.3962916300356048,2254123.760496509,2291470.555065277,2.134071111679077,9.995936870574951,0.0,12.341746091842651
scenario_642,39790.26236357069,0.4057170131002712,3691946.0613962724,3731736.729476856,2.140431880950928,9.43265700340271,0.0,11.786979913711548
scenario_643,41390.38364626477,545.8921073941667,3896263.9250737843,3938200.200827443,2.131941080093384,9.402230978012083,0.0,11.759634971618652
scenario_644,37736.00620378022,0.3782938770415206,2738473.613006283,2776209.9975039405,2.089684009552002,10.10921311378479,0.0,12.419161081314089
scenario_645,39853.71249713159,0.7247475316736092,4227990.782210821,4267845.219455484,2.2095539569854736,10.272656202316284,0.0,12.693596124649048
scenario_646,37455.53508921339,0.7040578943450688,2058857.850996045,2096314.0901431527,2.3366189002990723,11.553558111190796,0.0,14.116874933242798
scenario_647,38728.87075124837,0.4216373177989705,2737929.602848818,2776658.8952373844,2.3263940811157227,10.80816388130188,0.0,13.36293888092041
scenario_648,39689.38115794156,0.7249355682225205,3305843.02477131,3345533.1308648195,2.301187038421631,10.8450448513031,0.0,13.374789953231812
scenario_649,37125.68661962632,0.4069701181231979,2206639.2117118817,2243765.305301626,2.2537028789520264,10.633080005645752,0.0,13.115262031555176
scenario_650,39010.7679957629,0.6759055294827543,3752043.967732342,3791055.4116336345,2.333272933959961,11.288387060165403,0.0,13.862864971160889
